token_type	n_tokens	n_hit	mean_left	mean_right	net_score	frac_hit	frac_left	frac_right	frac_tie	frac_unknown	maj_side
araroy	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arary	3	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
araydy	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
archeey	1	1	12.400000	0.000000	12.400000	1.000000	1.000000	0.000000	0.000000	0.000000	left
archeody	1	1	9.400000	0.000000	9.400000	1.000000	1.000000	0.000000	0.000000	0.000000	left
archeor	1	1	9.400000	0.000000	9.400000	1.000000	1.000000	0.000000	0.000000	0.000000	left
archol	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arcsy	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
are	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arg	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
ariin	2	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arl	2	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aro	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arod	2	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arodaim	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arodchedy	1	1	13.400000	0.000000	13.400000	1.000000	1.000000	0.000000	0.000000	0.000000	left
arodl	2	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arody	9	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aroiin	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aroka	1	1	0.750000	0.000000	0.750000	1.000000	1.000000	0.000000	0.000000	0.000000	left
arol	10	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arolky	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arolsas	1	1	2.000000	0.000000	2.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
arom	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aror	3	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arorsheey	1	1	9.000000	0.000000	9.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
aros	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aroshy	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aroteey	1	1	3.000000	0.000000	3.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
arotey	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
arsheg	1	1	6.000000	0.000000	6.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
arxor	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
ary	22	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aryly	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
as	5	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
asa	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
asaly	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
ash	1	1	0.000000	17.000000	-17.000000	1.000000	0.000000	1.000000	0.000000	0.000000	right
ataiin	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
ataseos	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
ateey	1	1	3.000000	0.000000	3.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
atey	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
atolg	1	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
aty	3	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	unknown
c	3	3	51.000000	48.000000	3.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cckheor	1	1	57.000000	0.000000	57.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
cckhhy	1	1	51.000000	0.000000	51.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
ceectheey	1	1	60.000000	3.000000	57.000000	1.000000	1.000000	0.000000	0.000000	0.000000	left
