idx	token	length	freq	H1_local_bits	n_rules	rule_ids	family_signature	best_pmi_partner
4472	teaiin	6	1	14.857592	0			
4473	d	1	35	9.728309	0			
4474	chkchy	6	3	13.272630	0			
4475	taiin	5	28	10.050237	0			
4476	y	1	113	8.037413	0			
4477	chokeey	7	9	11.687667	0			
4478	daiin	5	621	5.579143	0			
4479	sarar	5	3	13.272630	0			
4480	ar	2	297	6.643273	0			
4481	al	2	211	7.136493	0			
4482	chokey	6	5	12.535664	0			
4483	chol	4	263	6.818673	0			
4484	okey	4	50	9.213736	2	chargram:ok:left,chargram:oke:left	chargram:ok:left-chargram:oke:left	
4485	tarodaiin	9	1	14.857592	0			
4486	ytedy	5	17	10.770129	0			
4487	chody	5	63	8.880312	0			
4488	ofchtar	7	1	14.857592	0			
4489	chcphedy	8	2	13.857592	0			
4490	ypar	4	4	12.857592	0			
4491	shol	4	135	7.780777	0			
4492	folor	5	1	14.857592	0			
4493	aiin	4	367	6.337956	0			
4494	cphhy	5	1	14.857592	0			
4495	dar	3	261	6.829686	0			
4496	yteody	6	10	11.535664	0			
4497	oteol	5	29	9.999611	0			
4498	ytedy	5	17	10.770129	0			
4499	ar	2	297	6.643273	0			
4500	chety	5	20	10.535664	1	chargram:che:left	chargram:che:left	
4501	dar	3	261	6.829686	0			
4502	aiir	4	18	10.687667	0			
4503	okaldy	6	6	12.272630	1	chargram:ok:left	chargram:ok:left	
4504	daral	5	2	13.857592	0			
4505	otchdy	6	26	10.157153	0			
4506	daiin	5	621	5.579143	0			
4507	dal	3	212	7.129672	0			
4508	s	1	168	7.465275	0			
4509	yty	3	18	10.687667	0			
4510	yty	3	18	10.687667	0			
4511	oty	3	95	8.287737	0			
4512	she	3	23	10.334030	0			
4513	ody	3	35	9.728309	0			
4514	shy	3	72	8.687667	0			
4515	olor	4	20	10.535664	0			
4516	ytchy	5	16	10.857592	0			
4517	kaiin	5	50	9.213736	0			
4518	chky	4	13	11.157153	0			
4519	qotydy	6	1	14.857592	0			
4520	dar	3	261	6.829686	0			
4521	aiin	4	367	6.337956	0			
4522	ykam	4	4	12.857592	0			
4523	dasar	5	1	14.857592	0			
4524	ytey	4	8	11.857592	0			
4525	tedy	4	37	9.648139	0			
4526	kar	3	43	9.431328	0			
4527	or	2	266	6.802310	0			
4528	ar	2	297	6.643273	0			
4529	shekalchdy	10	1	14.857592	0			
4530	cholty	6	1	14.857592	0			
4531	qotaly	6	5	12.535664	0			
4532	chedy	5	417	6.153689	1	chargram:che:left	chargram:che:left	
4533	oty	3	95	8.287737	0			
4534	otam	4	41	9.500040	0			
4535	ykor	4	9	11.687667	0			
4536	chdy	4	114	8.024702	0			
4537	shekody	7	1	14.857592	0			
4538	qotody	6	9	11.687667	0			
4539	qotar	5	57	9.024702	0			
4540	okedy	5	94	8.303003	2	chargram:ok:left,chargram:oke:left	chargram:ok:left-chargram:oke:left	
4541	dar	3	261	6.829686	0			
4542	choetchy	8	1	14.857592	0			
4543	dam	3	82	8.500040	0			
4544	otain	5	78	8.572190	0			
