position	mean_H	sd_H
kch	Recipes	-0.816365
kch	Astronomical	0.092659
kch	Biological	-0.220695
kch	Unassigned	-0.220695
dc	Herbal	0.092659
dc	Pharmaceutical	0.092659
dc	Recipes	0.089002
dc	Astronomical	0.122498
dc	Biological	0.092659
dc	Unassigned	0.092659
shek	Herbal	-0.901321
shek	Pharmaceutical	-0.266731
shek	Recipes	-0.266731
shek	Astronomical	-0.279515
shek	Biological	-0.901321
shek	Unassigned	0.092659
cht	Herbal	-0.014203
cht	Pharmaceutical	0.059127
cht	Recipes	0.059127
cht	Astronomical	0.076161
cht	Biological	0.059127
cht	Unassigned	0.092659
dai	Herbal	0.298917
dai	Pharmaceutical	0.214541
dai	Recipes	0.298917
dai	Astronomical	0.298917
dai	Biological	0.214541
dai	Unassigned	0.092659
or	Herbal	0.092659
or	Pharmaceutical	0.092659
or	Recipes	0.092659
or	Astronomical	0.092659
or	Biological	0.092659
or	Unassigned	0.092659
qoe	Herbal	-0.876232
qoe	Pharmaceutical	-0.134837
qoe	Recipes	-0.736524
qoe	Astronomical	0.092659
qoe	Biological	-0.736524
qoe	Unassigned	0.092659
tch	Herbal	-0.614937
tch	Pharmaceutical	0.107389
tch	Recipes	0.284464
tch	Astronomical	0.145393
tch	Biological	0.255555
tch	Unassigned	0.107389
olk	Herbal	-0.734493
olk	Pharmaceutical	-0.874201
olk	Recipes	-0.734493
olk	Astronomical	-0.135376
olk	Biological	-0.734493
olk	Unassigned	0.092659
ys	Herbal	0.019371
ys	Pharmaceutical	0.092659
ys	Recipes	0.092659
ys	Astronomical	0.092659
ys	Biological	0.092659
ys	Unassigned	0.092659
qote	Herbal	-0.313685
qote	Pharmaceutical	0.446009
qote	Recipes	-0.313685
qote	Astronomical	-0.313685
qote	Biological	-0.313685
qote	Unassigned	0.092659
oks	Herbal	0.284471
oks	Pharmaceutical	0.092659
oks	Recipes	0.692562
oks	Astronomical	-0.506458
oks	Biological	0.092659
oks	Unassigned	0.092659
ysh	Herbal	-0.702955
ysh	Pharmaceutical	0.196447
ysh	Recipes	-0.702955
ysh	Astronomical	0.092659
ysh	Biological	-0.702955
ysh	Unassigned	0.092659
cho	Herbal	-0.333338
cho	Pharmaceutical	-0.333338
cho	Recipes	-0.333338
cho	Astronomical	0.092659
cho	Biological	0.092659
cho	Unassigned	0.092659
lk	Herbal	0.253235
lk	Pharmaceutical	0.253235
lk	Recipes	0.196618
lk	Astronomical	0.092659
lk	Biological	0.092659
lk	Unassigned	0.092659
oko	Herbal	0.376797
oko	Pharmaceutical	0.376797
oko	Recipes	0.343347
oko	Astronomical	0.376797
oko	Biological	0.329956
oko	Unassigned	0.092659
tc	Herbal	0.315699
tc	Pharmaceutical	0.107389
tc	Recipes	0.284464
tc	Astronomical	0.092659
tc	Biological	0.255555
tc	Unassigned	0.107389
yta	Herbal	0.092659
yta	Pharmaceutical	0.092659
yta	Recipes	0.092659
yta	Astronomical	0.171778
yta	Biological	0.092659
yta	Unassigned	0.092659
qockh	Herbal	0.851773
qockh	Pharmaceutical	0.450043
