family	sim_latin	sim_arabic	delta	label
che-dc-dch-he	0.003532	0.001968	0.001565	Latin-like
hc-shc	0.003182	0.00184	0.001342	Latin-like
che-he-op-opc-pc	0.001953	0.000719	0.001234	Latin-like
che-he-tc-tch	0.00254	0.001306	0.001234	Latin-like
che-he-otc-tc-tch	0.001685	0.000528	0.001157	Latin-like
ee-yt	0.003376	0.002254	0.001121	Latin-like
chc-ct-hc-hct	0.0023	0.001189	0.001111	Latin-like
che-he-lc-olc	0.001578	0.000524	0.001054	Latin-like
op	0.002449	0.001417	0.001032	Latin-like
pc	0.00189	0.000911	0.000979	Latin-like
che-he-pc	0.001573	0.000622	0.000951	Latin-like
ke-yk	0.003256	0.002312	0.000944	Latin-like
lc	0.002854	0.002022	0.000832	Latin-like
ct-he	0.001846	0.001018	0.000828	Latin-like
he-ls-lsh	0.001697	0.000914	0.000784	Latin-like
tc-tch	0.002568	0.001802	0.000766	Latin-like
dc-dch	0.002471	0.001761	0.00071	Latin-like
ee-ke-yk	0.001682	0.001025	0.000657	Latin-like
chc-hc	0.001198	0.000608	0.00059	Latin-like
che-he-lc	0.001257	0.000725	0.000532	Latin-like
otc-tc-tch	0.000903	0.000452	0.000452	Latin-like
yk	0.001646	0.001203	0.000443	Latin-like
yt	0.001197	0.000875	0.000322	Latin-like
che-ee-he	0.000704	0.00043	0.000274	Latin-like
ee-he	0.00065	0.000404	0.000246	Latin-like
ee-ke-ok-oke	0.000619	0.000378	0.000241	Latin-like
ct	0.000838	0.000637	0.000201	Latin-like
ee-ke-ok-oke-qok	0.00035	0.000153	0.000197	Latin-like
ee-ke	0.000528	0.000333	0.000195	Latin-like
ke-ok-oke-qok	0.00048	0.000291	0.000188	Latin-like
ke-ok-oke	0.000657	0.000488	0.000169	Latin-like
ke	0.000929	0.000761	0.000168	Latin-like
ee	0.000368	0.000221	0.000147	Latin-like
ok-qok	0.00024	0.000137	0.000103	Latin-like
ok	0.000265	0.000189	7.5e-05	Latin-like
he	0.000172	0.000134	3.8e-05	Latin-like
che-he	0.00015	0.000113	3.8e-05	Latin-like
ct-tc-tch	0.121201	0.122377	-0.001177	Arabic-like
ke-ok	0.121201	0.122377	-0.001177	Arabic-like
tc	0.121201	0.122377	-0.001177	Arabic-like
